Categorie;Titre;Auteur;Evenement;Video;Supports;Podcast;Largeur
Stratégie technologique;"7 changements nécessaires pour sau&shy;ver votre système d'information décisionnel";Joseph GLORIEUX;USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/sessions/1117-7-changements-necessaires-pour-sauver-votre-systeme-d-information-decisionnel;;;3
Stratégie technologique;Les patterns des géants du web;Ludovic CINQUIN;DevoxxFR 2013, USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/sessions/1109-les-secrets-des-geants-du-web-7-pratiques-pour-mieux-travailler;;;3
Stratégie technologique;L'entreprise à l'heure de la mobilité;Guillaume Plouin;L'atelier numérique n°476, 22 juin 2013;;;http://www.atelier.net/radio/2013/06/24/atelier-numerique-476_422072#player_wrapper;3
Stratégie technologique;Le BYOD confronté au quotidien de la DSI;Guillaume Plouin;USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/sessions/1111-le-byod-confronte-au-quotidien-de-la-dsi;https://speakerdeck.com/plouin/le-boyd-confronte-au-quotidien-de-la-dsi-usi2013;;3
User eXperience;Les nouveaux challenges de l'UX Agile;Jérémie CHAINE;FLUPA UX day;;http://fr.slideshare.net/jchaine/prez-flupajc-hv10;;2
User eXperience;Quand la banque devient ludique;Sophie MUTO;USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/sessions/1110-quand-la-banque-devient-ludique;;;2
User eXperience;Kinect en moins de 10 Minutes;Vincent GUIGUI;Microsoft TechDays 2013;;http://www.slideshare.net/Developpeurs/lan205-kinect-en-moins-de-10-minutes-slides;;2
Delivery agile;Le Respect en Action;Cyrille DERUEL;Agile France;;http://fr.slideshare.net/CyrilleDeruel/respect-enactionv02;;2
Delivery agile;Agile at large Scale;Hervé LOURDIN;Printemps Agile à Caen;;;;2
Delivery agile;Que je découpe ma demande en petits morceaux ?;Jonathan SCHER;Mix-IT;;;;2
Delivery agile;Projet ou produit ?;Rémy-Christophe SCHERMESSER;Devops Days Paris;;http://fr.slideshare.net/El_Picador/how-products-can-improve-projects;;3
Delivery agile;"Un produit qui déchire, une équipe qui déchire&hellip; un leader qui déchire";David ALIA;Agile France;;;;3
Delivery agile;Communautés de pratique en pratique;Cyrille DERUEL;Agile France;;http://fr.slideshare.net/CyrilleDeruel/agile-france-2013-communauts-de-pratiques-en-pratique-cyrille-deruel;;3
Delivery agile;Mise un oeuvre d'un projet Mobile chez Cetelem en Scrum;Cyrille DERUEL;Scrum Days;http://www.youtube.com/watch?v=PJwV_jko0AQ;http://fr.slideshare.net/CyrilleDeruel/scrum-day-cetelemv15;;3
Hautes performances;"Performances perpétuelles&nbsp;: Mesures et améliorations continues des performances";Mikael ROBERT, Henri TREMBLAY;Devops Days Paris, USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/sessions/1114-performances-perpetuelles-mesures-et-ameliorations-continues-des-performances;http://www.slideshare.net/henrit/perf-devops-day;;3
Hautes performances;"Performance for the dummies&nbsp;: Introduction aux tests de charge";Henri TREMBLAY,  Marc BOJOLY;BreizhC@mp, PerfUG;;;;3
Hautes performances;Vivre en parallèle;Henri TREMBLAY;JUG Lausanne;;http://www.slideshare.net/henrit/vivre-en-parallle-jugl-2013;;3
BigData et NoSQL;L'approche exploratoire des graphes;Thomas VIAL;USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/s essions/1119-l-approche-exploratoire-des-graphe;;;2
BigData et NoSQL;L'amour est dans le graphe;Djamel ZOUAOUI;Paris Data Geek Meetup, BreizhC@mp;;http://fr.slideshare.net/DjamelZouaoui/lamour-est-dans-le-graphe-paris-datageek;;2
BigData et NoSQL;Big Data & Machine Learning;Mathieu DESPRIEE;TDC2013 São Paulo;;http://fr.slideshare.net/OCTOTechnology/big-data-machine-learning-tdc2013-sao-paulo-v11;;2
BigData et NoSQL;Introduction à Big Data et à l'analytics - Quelles opportunités pour l'assurance ?;Eric BIERNAT;IAE;;;;3
BigData et NoSQL;"NoSQL&nbsp;: après l'enthousiasme, les défis à relever";Djamel ZOUAOUI;USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/sessions/1118-nosql-apres-l-enthousiasme-les-defis-a-relever;;;3
BigData et NoSQL;"Indexer la terre entière&nbsp;: un projet fou ? Plus aujourd'hui !";Nicolas COLOMER;Meetup Elasticsearch France #2;;http://fr.slideshare.net/n_colomer/indexer-la-terre-entiere;;3
BigData et NoSQL;Big Data - Opportunités pour les experts-comptables;Eric BIERNAT;Séminaire au sommet des experts-comptables et commissaires aux comptes (Courchevel);;;;3
Software craftsmanship;Déployer en continu;Benoit LAFONTAINE;USI 2013;http://www.usievents.com/fr/conferences/12-paris-usi-2013/sessions/1116-deployer-en-continu;;;2
Software craftsmanship;Clean Code Games;Michel DOMENJOUD;Agile France;;http://fr.slideshare.net/mdomenjoud/clean-code-game-agile-france;;2
Software craftsmanship;Du JavaScript propre ? Challenge accepted!;Julien JAKUBOWSKI;DevoxxFR 2013;http://parleys.com/play/517bf74ee4b0736a5fa66a38/chapter0/about;http://fr.slideshare.net/jak78/java-script-devoxxfrance2013ppt;;2
Software craftsmanship;Indiana Jones et le temple du Legacy Code;Mathieu GANDIN;Agile France, Scrum Days;;;;3
Software craftsmanship;"Tester autrement&nbsp;: Le Guide du Testeur Intergalactique";Rémy-Christophe SCHERMESSER;Agile France;;http://fr.slideshare.net/El_Picador/the-hitchhickers-guide-to-unit-testing;;3
Expertise technologique;"Spring Batch&nbsp;: par quel bout le prendre ?";Julien JAKUBOWSKI;ParisJUG;;http://fr.slideshare.net/jak78/20130514-parisjugspringbatch;;2
Expertise technologique;La mort prochaine du GC ?;Philippe PRADOS;DevoxxFR 2013;;http://fr.slideshare.net/OCTOTechnology/2013-devoxx-la-mort-du-gc;;2
Expertise technologique;Industrialisation EasyMock;Henri TREMBLAY;BreizhC@mp;;;;2
Expertise technologique;Backbone.js en environnement Java;Laurent  DUTHEIL, Frederic MERIZEN;ParisJUG;;http://fr.slideshare.net/FredericMerizen/paris-jug-backbonejs-en-environnement-java-laurent-dutheil-et-frederic-merizen;;3
Expertise technologique;Les lambdas arrivent. En attendant, êtes-vous bien sûr d'avoir compris les génériques?;Henri TREMBLAY;DevoxxFR 2013;;http://www.slideshare.net/henrit/devoxxfr-2013;;3
Mobilité;PKI sur Android;Aurélien RAMBAUX, Philippe PRADOS;DroidCon Paris 2013;;http://fr.slideshare.net/OCTOTechnology/octo-droidcon-pki-android-installer-grer-scuriser-et-utiliser-un-secret;;2
Mobilité;Développement sécurisé sous Android;Philippe PRADOS;Solution Linux;;http://fr.slideshare.net/OCTOTechnology/scurit-android-gug-2012;;2
Mobilité;Les malware sur smartphones, une peur disproportionnée ?;Philippe PRADOS;Interview sur lemonde.fr;;http://www.lemonde.fr/technologies/article/2013/06/05/les-malware-sur-smartphones-une-peur-disproportionnee_3424023_651865.html;;2
Mobilité;Musclez vos apps Android avec les outils du monde Java;Stéphane NICOLAS, Jérome VAN DER LINDEN;DroidCon Paris 2013, DevoxxFR 2013;http://parleys.com/play/51992a32e4b0549489a4a419/chapter0/about;http://fr.slideshare.net/jeromevdl/droidcon-paris-2013;;3
Mobilité;"Android&nbsp;: Plateforme, Développement, Outillage et bonnes pratiques";Jérome VAN DER LINDEN;JUG Lausanne;;http://fr.slideshare.net/jeromevdl/jug-lausanne-android-janvier2013;;3
Mobilité;Gestion de parc mobile en entreprise;Philippe PRADOS;Solution Linux;;;;2
Mobilité;"RoboSpice&nbsp;: Make asyn&shy;chronous network request easily";Stéphane NICOLAS;DroidCon Paris 2013;;https://speakerdeck.com/stephanenicolas/robospice-presentation;;2
Mobilité;Donnez le pouvoir de build à votre PO;Mathieu HAUSHERR;DroidCon Paris 2013;http://www.mathieu-hausherr.com/cv/portfolios/donnez-le-pouvoir-a-votre-po-fr-droidcon-paris-2013;https://speakerdeck.com/mhausherr/donnez-le-pouvoir-de-build-a-votre-po;;2
Mobilité;Android Holo Colors;Jérome VAN DER LINDEN;Google I/O;;;;3
Mobilité;Optez pour un écosystème et des outils professionnels;Stéphane PROHASZKA, Cédric POINTEL;Petit-déjeuner OCTO - Professionnalisez vos développements mobiles !;http://tv.octo.com/videos/professionnalisez-vos-developpements-mobile/#start=400&autoplay;;;3
Mobilité;Gérez vos Apps, pas vos devices !;Hervé LOURDIN;Petit-déjeuner OCTO - Professionnalisez vos développements mobiles !;http://tv.octo.com/videos/professionnalisez-vos-developpements-mobile/#start=1990&autoplay;;;3
Mobilité;Faites vivre vos applications;Maxence WALBROU;Petit-déjeuner OCTO - Professionnalisez vos développements mobiles !;http://tv.octo.com/videos/professionnalisez-vos-developpements-mobile/#start=3803&autoplay;;;3
